作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,対象 読Qﾈｰﾑ,監督回数
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,検出書籍名,著者,ジャンルから,検索方法,アクション
ISBNから,2019-12-17 04:48:58,yoko04351,47,青森県,黒石市,dq26,夜叉神と地蔵　真実の地蔵,姫野 桃花,,,詳細を見る,
ISBNから,2019-12-17 04:50:07,yoko04351,47,青森県,黒石市,dq28,タージマハールのパワン君,姫野 桃花,,,詳細を見る,
ISBNから,2019-12-17 04:52:47,yoko04351,47,青森県,黒石市,dq25,人生の見本,中山圭子　 斉藤律子,,,詳細を見る,
ISBNから,2019-12-17 04:53:08,yoko04351,47,青森県,黒石市,dq25,人生の見本,中山圭子　 斉藤律子,,,受検する,
ISBNから,2019-12-17 04:58:43,yoko04351,47,青森県,黒石市,dq25,人生の見本,中山圭子　 斉藤律子,,,詳細を見る,
ISBNから,2019-12-17 04:59:02,yoko04351,47,青森県,黒石市,dq25,人生の見本,中山圭子　 斉藤律子,,,詳細を見る,
ISBNから,2019-12-17 04:59:10,yoko04351,47,青森県,黒石市,dq25,人生の見本,中山圭子　 斉藤律子,,,詳細を見る,
ISBNから,2019-12-17 04:59:22,yoko04351,47,青森県,黒石市,dq25,人生の見本,中山圭子　 斉藤律子,,,詳細を見る,
ISBNから,2019-12-17 04:59:38,yoko04351,47,青森県,黒石市,dq25,人生の見本,中山圭子　 斉藤律子,,,詳細を見る,
ISBNから,2019-12-17 06:05:41,sinnosuke03562,7,神奈川県,藤沢市,dq29,最後の一枚の葉,ヘンリー オー,,,受検する,
書籍名から,2019-12-17 06:06:51,suzue01811,7,神奈川県,藤沢市,dq31,サンプル本,相 上男,,サンプル,受検する,
ISBNから,2019-12-17 06:10:56,suzue01811,7,神奈川県,藤沢市,dq31,サンプル本,相 上男,,,詳細を見る,
ISBNから,2019-12-17 06:11:02,suzue01811,7,神奈川県,藤沢市,dq31,サンプル本,相 上男,,,受検する,
書籍名から,2019-12-17 06:21:50,sinnosuke03562,7,神奈川県,藤沢市,dq31,サンプル本,相 上男,,サンプル,受検する,
書籍名から,2019-12-17 06:28:19,sinnosuke03562,7,神奈川県,藤沢市,dq31,サンプル本,相 上男,,サンプル,受検する,
書籍名から,2019-12-17 07:11:04,suzue01811,7,神奈川県,藤沢市,dq30,くまの子ウーフ,神沢 利子,,くまの子ウーフ,詳細を見る,
