読Ｑ本ＩＤ, タイトル, タイトルよみがな, 著者ペンネーム姓, 著者ペンネーム名, 著者よみがな姓, 著者よみがな名, 著者読Ｑネーム, 出版社, ＩＳＢＮ, 読Q認定日 ,読Ｑ本ポイント, 出題数, 時短最大秒数, 読Q推薦図書か, 書店URL, 紙or青空電子, 推奨年代, 係数, ジャンル１, ジャンル２, ジャンル３, ジャンル４, 行数, 1行字数, 本文頁数, 空白頁数, 3/4空白頁数, 1/2空白頁数, 1/4空白頁数, p30短行数, p50短行数, p70短行数, p90短行数, p110短行数, 総字数, 参考字数, 登録者読Ｑネーム, 監修者読Ｑネーム, 著者監修者読Qネーム, 保有クイズ数, 受検回数, 受検者実数, 合格者数, 帯文数, 良書と認めた人数, 前年度合格者数順位/全登録冊数
dq246,エーミールと探偵たち,えーみーるとたんていたち,ケストナー,エーリヒ,けすとなー,えーりひ,,岩波書店,400114018,2022-07-26,1.93,8,120,,,字数カウントしていない本,小学校中学年,0.5,児童書,,,,15,42,207,23,5,6,12,0,1,3,2,3,96604,,yukiko06941k,yukari05831k,,28,2,2,0,0,0,4/41,,
dq243,雪の女王,ゆきのじょうおう,アンデルセン,ハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,,青空文庫,404108620,2022-07-24,2.73,8,120,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,海外の文学,名作,,18,24,91,0,0,1,1,0,0,0,0,0,38988,,kyoko03121k,yukari05831k,,37,2,2,0,0,0,4/41,,
dq242,シノダ！魔物の森のふしぎな夜,しのだ！まもののもりのふしぎなよる,富安,陽子,とみやす,ようこ,,偕成社,403644040,2022-07-21,5.75,10,150,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,15,40,251,24,2,26,12,6,6,2,6,6,82124,,asako03331k,yukari05831k,,50,0,0,0,0,0,4/41,,
dq241,シノダ！鏡の中の秘密の池,しのだ！かがみのなかのひみつのいけ,富安,陽子,とみやす,ようこ,,偕成社,403644033,2022-07-20,8.06,12,180,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,15,40,267,13,2,22,6,4,3,2,2,4,115200,,asako03331k,yukari05831k,,52,0,0,0,0,0,4/41,,
dq240,はだかの王さま,はだかのおうさま,アンデルセン,ハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,,青空文庫,409235007,2022-07-17,0.21,8,120,,,字数カウントしていない本,小学校低学年～小学校中学年,0.3,児童書,海外の文学,名作,,10,10,59,2,2,2,2,1,0,0,0,0,5292,,kyoko03121k,yukari05831k,,33,0,0,0,0,0,4/41,,
dq239,魔女の宅急便,まじょのたっきゅうびん,角野,栄子,かどの,えいこ,,福音館書店,834001199,2022-07-16,6.88,10,150,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,15,40,259,14,3,7,30,5,5,4,4,4,98262,,mizuho00641k,yukari00161s,,0,0,0,0,0,0,4/41,,
dq238,シノダ！樹のことばと石の封印,しのだ！きのことばといしのふういん,富安,陽子,とみやす,ようこ,,偕成社,403644020,2022-07-15,9.94,12,180,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,15,40,363,19,1,27,4,4,5,5,4,3,142020,,asako03331k,yukari05831k,,60,0,0,0,0,0,4/41,,
dq237,シノダ！チビ竜と魔法の実,しのだ！ちびりゅうとまほうのみ,富安,陽子,とみやす,ようこ,,偕成社,978403644,2022-07-15,6.68,10,150,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,15,40,235,22,3,18,12,2,2,3,5,3,95400,,asako03331k,yukari05831k,,44,3,1,1,0,0,4/41,,
dq236,ジム・ボタンと13人の海賊,じむ・ぼたんと13にんのかいぞく,エンデ,ミヒャエル,えんで,みひゃえる,,岩波書店,400110999,2022-07-10,14.46,15,225,推薦図書,,字数カウントしていない本,小学校高学年,0.8,児童書,海外の文学,,,16,46,343,23,13,5,40,1,2,5,4,2,180794,,asako03331k,yukari05831k,,0,0,0,0,0,0,4/41,,
dq235,黄色い夏の日,きいろいなつのひ,高楼,方子,たかどの,ほうこ,,福音館書店,483408626,2022-07-06,13.72,15,225,推薦図書,,字数カウントしていない本,小学校高学年,0.8,児童書,日本の文学,,,18,44,316,5,1,1,2,4,8,5,6,4,171448,,hiromi02961k,yukari05831k,,60,0,0,0,0,0,4/41,,
