作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
正答,2020-09-08 17:35:45,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-4,4,yukari05831k,3,,,0,10,0,
回答開始,2020-09-08 17:35:50,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-7,6,yukari05831k,,,,0,10,0,
正答,2020-09-08 17:35:50,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-23,5,yukari05831k,4,,,0,10,0,
回答開始,2020-09-08 17:35:59,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-7,7,yukari05831k,,,,0,10,0,
正答,2020-09-08 17:35:59,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-7,6,yukari05831k,7,,,0,10,0,
合格,2020-09-08 17:36:04,maria05841,7,神奈川県,南足柄市,dq50,,,,,masayuki06802,34,0.74,0.07,0.81,10,0.81,
回答開始,2020-09-08 18:49:47,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-8,0,keiko03851k,,,,1.3,10,1.3,
回答開始,2020-09-08 18:49:53,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-26,1,keiko03851k,,,,1.3,10,1.3,
回答開始,2020-09-08 18:49:58,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-10,2,keiko03851k,,,,1.3,10,1.3,
正答,2020-09-08 18:49:58,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-26,1,keiko03851k,3,,,1.3,10,1.3,
回答開始,2020-09-08 18:50:03,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-6,3,keiko03851k,,,,1.3,10,1.3,
正答,2020-09-08 18:50:03,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-10,2,keiko03851k,3,,,1.3,10,1.3,
回答開始,2020-09-08 18:50:09,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-33,4,keiko03851k,,,,1.3,10,1.3,
正答,2020-09-08 18:50:09,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-6,3,keiko03851k,5,,,1.3,10,1.3,
回答開始,2020-09-08 18:50:14,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-24,5,keiko03851k,,,,1.3,10,1.3,
正答,2020-09-08 18:50:15,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-33,4,keiko03851k,3,,,1.3,10,1.3,
回答開始,2020-09-08 18:50:21,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-13,6,keiko03851k,,,,1.3,10,1.3,
正答,2020-09-08 18:50:21,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-24,5,keiko03851k,4,,,1.3,10,1.3,
回答開始,2020-09-08 18:50:25,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-13,7,keiko03851k,,,,1.3,10,1.3,
正答,2020-09-08 18:50:25,maria05841,7,神奈川県,南足柄市,dq29,,,dq29-13,6,keiko03851k,3,,,1.3,10,1.3,
合格,2020-09-08 18:50:29,maria05841,7,神奈川県,南足柄市,dq29,,,,,masayuki06802,25,0.64,0.06,2,10,2,
