作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
読Q本認定,2020-10-22 12:17:42,yukari88001k,57,dq55,読書力,齋藤 孝,,12.08,3.41,10,,
読Q本認定,2020-10-22 12:18:31,yukari88001k,57,dq55,読書力,齋藤 孝,,12.08,3.41,10,,
本の申請,2020-10-22 12:20:19,yukari88001k,57,dq55,読書力,齋藤 孝,,12.08,3.41,10,,
本の申請,2020-10-22 12:26:16,yukari88001k,57,dq55,読書力,齋藤 孝,,12.08,3.41,10,,
本の申請,2020-10-22 12:30:55,yukari88001k,57,dq55,読書力,齋藤 孝,,12.08,3.41,10,,
本の申請,2020-10-22 12:34:28,yukari88001k,57,dq55,読書力,齋藤 孝,,12.08,3.41,10,,
本の申請,2020-10-22 12:44:29,yukari88001k,57,dq56,僕たちの戦争,荻原 浩,,30.01,3.41,10,,
本の申請,2020-10-22 13:06:50,yukari88001k,57,dq56,僕たちの戦争,荻原 浩,,30.01,3.41,10,,
読Q本認定,2020-10-22 13:11:56,yukari88001k,57,dq56,僕たちの戦争,荻原 浩,,30.01,6.41,10,,
読Q本認定,2020-10-22 13:13:31,yukari88001k,57,dq56,僕たちの戦争,荻原 浩,,30.01,6.41,10,,
本の申請,2020-10-22 13:14:32,yukari88001k,57,dq56,僕たちの戦争,荻原 浩,,30.01,6.41,10,,
本の申請,2020-10-22 17:37:59,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0.02,0,10,,
クイズ送信,2020-10-22 17:47:23,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,＃ああああああああああ＃1,
クイズ送信,2020-10-22 17:47:23,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,いいいいい＃おおお＃２,
クイズ送信,2020-10-22 17:47:24,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,＃ＧＧＧＧＧＧ＃１,
クイズ送信,2020-10-22 17:47:24,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,＃ＪＪＪＪＪＪＪＪＪＪＪＪＪＪＪＪＪＪ＃2,
クイズ送信,2020-10-22 17:47:24,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,いいいいいいいいいいい＃ＨＨＨ＃1,
クイズ送信,2020-10-22 17:47:24,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ＧＧＧＧＧＧ＃ＬＬＬＬＬＬ＃１,
クイズ送信,2020-10-22 17:47:24,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ＳＳＳＳＳＳＳＳＳ＃ＧＧ＃2,
クイズ送信,2020-10-22 17:47:24,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,＃ＭＭＭＭＭＭＭＭＭＭ＃２,
クイズ送信,2020-10-22 17:47:24,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ＤＤＤＤＤ＃。。。＃,
クイズ送信,2020-10-22 17:47:24,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ＣＣＣ＃おおお＃2,
クイズ送信,2020-10-22 17:47:24,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ＴＴＴＴＴＴＴＴＴＴＴ＃Ｋ＃,
クイズ送信,2020-10-22 17:47:24,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,＃ＪＪＪ＃,
クイズ送信,2020-10-22 17:47:25,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ＦＦ＃うう＃2,
クイズ送信,2020-10-22 17:47:25,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ちゅ＃ＶＶＶ＃,
クイズ送信,2020-10-22 17:47:25,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ＶＶＶ＃、、、＃,
クイズ送信,2020-10-22 17:47:25,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,＃ＬＬＬ＃２,
クイズ送信,2020-10-22 17:47:25,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ＣＣＣ＃いいい＃,
クイズ送信,2020-10-22 17:47:25,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,＃ＦＦＦ＃２,
クイズ送信,2020-10-22 17:47:25,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,＃ＧＧＧＧＧＧＧ＃＊ＪＪＪ＊2,
クイズ送信,2020-10-22 17:47:25,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ＤＦＧ＃ＪＪＪＪＪＪＪＪ＃,
クイズ送信,2020-10-22 17:47:25,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,＃ＨＪＫ＃,
クイズ送信,2020-10-22 17:47:26,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ＲＴＨ＃ＬＫ＃2,
クイズ送信,2020-10-22 17:47:26,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ＳＦＴＨＧ＃ＨＪＫ＃2,
クイズ送信,2020-10-22 17:47:26,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0,0,10,ええええええええ＃いいいいいい＃,
読Q本認定,2020-10-22 17:59:50,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,,0.02,0,10,,
クイズ認定完了,2020-10-22 18:03:18,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-1,0,0,10,ええええええええ＃いいいいいい＃,
クイズ認定完了,2020-10-22 18:03:19,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-2,0,0,10,ＳＦＴＨＧ＃ＨＪＫ＃2,
クイズ認定完了,2020-10-22 18:03:19,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-3,0,0,10,ＲＴＨ＃ＬＫ＃2,
クイズ認定完了,2020-10-22 18:03:19,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-4,0,0,10,＃ＨＪＫ＃,
クイズ認定完了,2020-10-22 18:03:19,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-5,0,0,10,ＤＦＧ＃ＪＪＪＪＪＪＪＪ＃,
クイズ認定完了,2020-10-22 18:03:19,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-6,0,0,10,＃ＧＧＧＧＧＧＧ＃＊ＪＪＪ＊2,
クイズ認定完了,2020-10-22 18:03:19,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-7,0,0,10,＃ＦＦＦ＃２,
クイズ認定完了,2020-10-22 18:03:20,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-8,0,0,10,ＣＣＣ＃いいい＃,
クイズ認定完了,2020-10-22 18:03:20,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-9,0,0,10,＃ＬＬＬ＃２,
クイズ認定完了,2020-10-22 18:03:20,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-10,0,0,10,ＶＶＶ＃、、、＃,
クイズ認定完了,2020-10-22 18:03:20,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-11,0,0,10,ちゅ＃ＶＶＶ＃,
クイズ認定完了,2020-10-22 18:03:20,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-12,0,0,10,ＦＦ＃うう＃2,
クイズ認定完了,2020-10-22 18:03:20,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-13,0,0,10,＃ＪＪＪ＃,
クイズ認定完了,2020-10-22 18:03:21,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-14,0,0,10,ＴＴＴＴＴＴＴＴＴＴＴ＃Ｋ＃,
クイズ認定完了,2020-10-22 18:03:21,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-15,0,0,10,ＣＣＣ＃おおお＃2,
クイズ認定完了,2020-10-22 18:03:21,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-16,0,0,10,ＤＤＤＤＤ＃。。。＃,
クイズ認定完了,2020-10-22 18:03:21,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-17,0,0,10,＃ＭＭＭＭＭＭＭＭＭＭ＃２,
クイズ認定完了,2020-10-22 18:03:21,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-18,0,0,10,ＳＳＳＳＳＳＳＳＳ＃ＧＧ＃2,
クイズ認定完了,2020-10-22 18:03:21,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-19,0,0,10,ＧＧＧＧＧＧ＃ＬＬＬＬＬＬ＃１,
クイズ認定完了,2020-10-22 18:03:22,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-20,0,0,10,いいいいいいいいいいい＃ＨＨＨ＃1,
クイズ認定完了,2020-10-22 18:03:22,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-21,0,0,10,＃ＪＪＪＪＪＪＪＪＪＪＪＪＪＪＪＪＪＪ＃2,
クイズ認定完了,2020-10-22 18:03:22,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-22,0,0,10,＃ＧＧＧＧＧＧ＃１,
クイズ認定完了,2020-10-22 18:03:22,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-23,0,0,10,いいいいい＃おおお＃２,
クイズ認定完了,2020-10-22 18:03:22,momoka01361c,28,dq57,かわいいラッコ,姫野 桃花,dq57-24,0,0,10,＃ああああああああああ＃1,
本の申請,2020-10-22 18:21:01,yukari88001k,57,dq57,かわいいラッコ,姫野 桃花,,0.1,6.41,10,,
読Q本認定,2020-10-22 18:24:09,yukari88001k,57,dq57,かわいいラッコ,姫野 桃花,,0.1,6.42,10,,
本の申請,2020-11-06 09:37:30,yukari88001k,57,dq57,かわいいラッコ,姫野 桃花,,0.1,6.42,10,,
本の申請,2020-12-06 17:09:48,yukari88001k,57,dq46,大どろぼうホッツェンプロッツ,プロイスラー オトフリート,,2.75,6.42,10,,
本の申請,2021-01-26 17:14:44,yukari05831k,58,dq58,Test book,ddd ccc,,0,5.32,10,,
本の申請,2021-01-26 21:44:11,yukari05831k,58,dq59,野ばら,小川 未明,,0.16,5.32,10,,
クイズ送信,2021-01-26 23:50:06,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,＃大きな国＊くに＊の兵士＊へいし＊は老人＊ろうじん＊で、小さな国の兵士は青年＊せいねん＊でした。＃　（こたえは〇）,
クイズ送信,2021-01-26 23:50:06,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,＃小さな国＊くに＊の兵士＊へいし＊は老人＊ろうじん＊で、大きな国の兵士は青年＊せいねん＊でした。＃　（こたえは?）,
クイズ送信,2021-01-26 23:50:06,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたつの国＊くに＊から、#ひとりずつ#の兵隊＊へいたい＊が派遣＊はけん＊されて、国境＊こっきょう＊を定＊さだ＊めた石碑＊せきひ＊を守＊まも＊っていました。(こたえは〇）,
クイズ送信,2021-01-26 23:50:06,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたつの国＊くに＊から それぞれ派遣＊はけん＊された兵士＊へいし＊が 番＊ばん＊をしているのは、#
人通＊ひとどお＊りが多いところでした#。（こたえは ?）,
クイズ送信,2021-01-26 23:50:06,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたつの国＊くに＊から それぞれ派遣＊はけん＊された兵士＊へいし＊が 番＊ばん＊をしているのは、#
いたってさびしい山でした#。（こたえは 〇）,
クイズ送信,2021-01-26 23:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたつの国＊くに＊から 派遣＊はけん＊された兵士＊へいし＊が 番＊ばん＊をしているのは、#
お城＊しろ＊でした#。（こたえは?）,
クイズ送信,2021-01-26 23:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,二人の兵士＊へいし＊が仲＊なか＊よくなったのは、＃ほかに話＊はなし＊をする相手＊あいて＊もなく退屈＊たいくつ＊だったからです＃。（こたえは〇）,
クイズ送信,2021-01-26 23:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたりの兵士＊へいし＊は、みつばちの羽音＊はおと＊を ＃うるさい＃と 思＊おも＊いました。（こたえは?）,
クイズ送信,2021-01-26 23:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたりの兵士＊へいし＊は、みつばちの羽音＊はおと＊を ＃快＊こころよ＊い＃と 思＊おも＊いました。（こたえは〇）,
クイズ送信,2021-01-26 23:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,青年＊せいねん＊は最初＊さいしょ＊ ＃将棋＊しょうぎ＊の歩＊あゆ＊み方＊かた＊を知＊し＊りませんでした＃。（こたえは〇）,
クイズ送信,2021-01-26 23:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたりの兵士＊へいし＊は いい天気＊てんき＊の日に、よく ＃すもうをしました＃。（こたえは?）,
クイズ送信,2021-01-26 23:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,老人＊ろうじん＊は、青年＊せいねん＊に、＃将棋＊しょうぎ＊の歩＊あゆ＊み方＊かた＊を 教＊おし＊えました＃。（こたえは〇）,
クイズ送信,2021-01-26 23:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,二人＊ふたり＊は いっしょうけんめい＃将棋盤＊しょうぎばん＊の上で 争＊あらそ＊っても、心＊こころ＊は 打＊う＊ち解＊と＊けていました＃。（こたえは〇）,
クイズ送信,2021-01-26 23:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,二人＊ふたり＊は いっしょうけんめい将棋盤＊しょうぎばん＊の上で争＊あらそ＊ううちに、＃仲＊なか＊が悪＊わる＊くなっていきました＃。（こたえは?）,
クイズ送信,2021-01-26 23:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,青年＊せいねん＊の兵士＊へいし＊は、＃野ばらの棘＊とげ＊で、けがをしました＃。（こたえは?）,
クイズ送信,2021-01-26 23:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,＃国境＊こっきょう＊の山々＊やまやま＊には、野ばらが一面＊いちめん＊に咲＊さ＊きほこっていました＃。（こたえは?）,
クイズ送信,2021-01-26 23:50:08,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,寒＊さむ＊くなると老人＊ろうじん＊は、南＊みなみ＊の方＊ほう＊を恋＊こい＊しがり、暇＊ひま＊をもらって帰＊かえ＊りたい、といいました。＃青年＊せいねん＊は、もうしばらく いてほしい と たのみました＃。（こたえは〇）,
クイズ送信,2021-01-26 23:50:08,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,二つの国＊くに＊が 戦争＊せんそう＊をはじめて、ふたりの兵士＊へいし＊は、敵＊てき＊味方＊みかた＊の間柄＊あいだがら＊になり、＃口＊くち＊をきかなくなりました＃。（こたえは?）,
クイズ送信,2021-01-26 23:50:08,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,二つの国＊くに＊が 戦争＊せんそう＊を始＊はじ＊めました。＃老人＊ろうじん＊は、自分（じぶん）の首＊くび＊をもっていけば あなたは出世＊しゅっせ＊できるから、私＊わたし＊を殺＊ころ＊してください、といいました＃。（こたえは〇）,
クイズ送信,2021-01-26 23:50:08,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,二つの国＊くに＊が 戦争＊せんそう＊を始＊はじ＊めました。＃青年＊せいねん＊は、自分（じぶん）の首＊くび＊をもっていけば あなたは出世＊しゅっせ＊できるから、私＊わたし＊を殺＊ころ＊してください、といいました＃。（こたえは?）,
クイズ送信,2021-01-26 23:50:08,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,戦争＊せんそう＊が始＊はじ＊まり、＃老人＊ろうじん＊＃は、「どうして私＊わたし＊とあなたとが敵＊かたき＊どうしでしょう。わたしの敵＊てき＊は、ほかに なければなりません。」といい残＊のこ＊して、去＊さ＊ってしまいました。（こたえは?）,
クイズ送信,2021-01-26 23:50:08,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,＃青年＊せいねん＊が去＊さ＊り、国境＊こっきょう＊には、ただ一人＊ひとり＊老人＊ろうじん＊だけが残＊のこ＊されました＃。（こたえは〇）,
クイズ送信,2021-01-26 23:50:08,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,戦争＊せんそう＊が始＊はじ＊まると、＃なぜか 野ばらが全＊すべ＊て 枯＊か＊れてしまい、みつばちも来＊こ＊なくなったのでした＃。（こたえは?）,
クイズ送信,2021-01-26 23:50:08,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ある日＊ひ＊のこと、老人＊ろうじん＊は旅人＊たびびと＊から、＃小＊ちい＊さな国＊くに＊が負＊ま＊けて、その国の兵士＊へいし＊は みなごろしになって、戦争＊せんそう＊は終＊お＊わった＃ということを聞＊き＊きました。（こたえは〇）,
クイズ送信,2021-01-26 23:50:08,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ある日＊ひ＊のこと、老人＊ろうじん＊は旅人＊たびびと＊から、＃大きな国＊くに＊＃が負＊ま＊けて、その国の兵士＊へいし＊は みなごろしになって、戦争＊せんそう＊は終＊お＊わったということを聞＊き＊きました。（こたえは?）,
クイズ送信,2021-01-26 23:50:08,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,＃老人＊ろうじん＊の夢＊ゆめ＊の中で＃、戦争＊せんそう＊から戻＊もど＊ってきた青年＊せいねん＊は、老人＊ろうじん＊に黙礼＊もくれい＊をして、ばらの花＊はな＊をかいだのでした。（こたえは〇）,
クイズ送信,2021-01-26 23:50:09,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,二つの国＊くに＊が 戦争＊せんそう＊を始＊はじ＊めました。＃老人＊ろうじん＊は、私＊わたし＊の首＊くび＊をもっていけば あなたは出世＊しゅっせ＊できるが、どうか私＊わたし＊を殺＊ころ＊さないでください、と青年＊せいねん＊に たのみました＃。（こたえは?）,
クイズ送信,2021-01-26 23:50:09,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,旅人＊たびびと＊が去＊さ＊ったあと、＃やがて一列＊れつ＊の軍隊＊ぐんたい＊がやってきました。そして馬＊うま＊に乗＊の＊ってそれを指揮＊しき＊するのは、かの青年＊せいねん＊だったのです。老人は、青年＊せいねん＊とともに、ばらの花をかぎました＃。（こたえは?）,
読Q本認定,2021-01-26 23:51:14,yukari05831k,58,dq59,野ばら,小川 未明,,0.16,5.33,10,,
クイズ送信,2021-01-27 00:03:18,hiroko06091k,58,dq59,野ばら,小川 未明,,0,0,10,ふたつの国＊くに＊が戦争＊せんそう＊を始＊はじ＊め、＃青年＊せいねん＊＃は、戦争＊せんそう＊が開＊ひら＊かれている北＊きた＊の方＊ほう＊へ行＊い＊ってしまいました。（こたえは〇）,
クイズ認定却下,2021-01-27 00:10:20,hiroko06091k,58,dq59,野ばら,小川 未明,,0,0,10,ふたつの国＊くに＊が戦争＊せんそう＊を始＊はじ＊め、＃青年＊せいねん＊＃は、戦争＊せんそう＊が開＊ひら＊かれている北＊きた＊の方＊ほう＊へ行＊い＊ってしまいました。（こたえは〇）,
クイズ認定完了,2021-01-27 00:10:20,yukari05831k,58,dq59,野ばら,小川 未明,dq59-1,0.01,5.34,10,旅人＊たびびと＊が去＊さ＊ったあと、＃やがて一列＊れつ＊の軍隊＊ぐんたい＊がやってきました。そして馬＊うま＊に乗＊の＊ってそれを指揮＊しき＊するのは、かの青年＊せいねん＊だったのです。老人は、青年＊せいねん＊とともに、ばらの花をかぎました＃。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:20,yukari05831k,58,dq59,野ばら,小川 未明,dq59-2,0.01,5.35,10,二つの国＊くに＊が 戦争＊せんそう＊を始＊はじ＊めました。＃老人＊ろうじん＊は、私＊わたし＊の首＊くび＊をもっていけば あなたは出世＊しゅっせ＊できるが、どうか私＊わたし＊を殺＊ころ＊さないでください、と青年＊せいねん＊に たのみました＃。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:21,yukari05831k,58,dq59,野ばら,小川 未明,dq59-3,0.01,5.36,10,＃老人＊ろうじん＊の夢＊ゆめ＊の中で＃、戦争＊せんそう＊から戻＊もど＊ってきた青年＊せいねん＊は、老人＊ろうじん＊に黙礼＊もくれい＊をして、ばらの花＊はな＊をかいだのでした。（こたえは〇）,
クイズ認定完了,2021-01-27 00:10:21,yukari05831k,58,dq59,野ばら,小川 未明,dq59-4,0.01,5.37,10,ある日＊ひ＊のこと、老人＊ろうじん＊は旅人＊たびびと＊から、＃大きな国＊くに＊＃が負＊ま＊けて、その国の兵士＊へいし＊は みなごろしになって、戦争＊せんそう＊は終＊お＊わったということを聞＊き＊きました。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:21,yukari05831k,58,dq59,野ばら,小川 未明,dq59-5,0.01,5.38,10,ある日＊ひ＊のこと、老人＊ろうじん＊は旅人＊たびびと＊から、＃小＊ちい＊さな国＊くに＊が負＊ま＊けて、その国の兵士＊へいし＊は みなごろしになって、戦争＊せんそう＊は終＊お＊わった＃ということを聞＊き＊きました。（こたえは〇）,
クイズ認定完了,2021-01-27 00:10:21,yukari05831k,58,dq59,野ばら,小川 未明,dq59-6,0.01,5.39,10,戦争＊せんそう＊が始＊はじ＊まると、＃なぜか 野ばらが全＊すべ＊て 枯＊か＊れてしまい、みつばちも来＊こ＊なくなったのでした＃。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:21,yukari05831k,58,dq59,野ばら,小川 未明,dq59-7,0.01,5.4,10,＃青年＊せいねん＊が去＊さ＊り、国境＊こっきょう＊には、ただ一人＊ひとり＊老人＊ろうじん＊だけが残＊のこ＊されました＃。（こたえは〇）,
クイズ認定完了,2021-01-27 00:10:21,yukari05831k,58,dq59,野ばら,小川 未明,dq59-8,0.01,5.41,10,戦争＊せんそう＊が始＊はじ＊まり、＃老人＊ろうじん＊＃は、「どうして私＊わたし＊とあなたとが敵＊かたき＊どうしでしょう。わたしの敵＊てき＊は、ほかに なければなりません。」といい残＊のこ＊して、去＊さ＊ってしまいました。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:21,yukari05831k,58,dq59,野ばら,小川 未明,dq59-9,0.01,5.42,10,二つの国＊くに＊が 戦争＊せんそう＊を始＊はじ＊めました。＃青年＊せいねん＊は、自分（じぶん）の首＊くび＊をもっていけば あなたは出世＊しゅっせ＊できるから、私＊わたし＊を殺＊ころ＊してください、といいました＃。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:22,yukari05831k,58,dq59,野ばら,小川 未明,dq59-10,0.01,5.43,10,二つの国＊くに＊が 戦争＊せんそう＊を始＊はじ＊めました。＃老人＊ろうじん＊は、自分（じぶん）の首＊くび＊をもっていけば あなたは出世＊しゅっせ＊できるから、私＊わたし＊を殺＊ころ＊してください、といいました＃。（こたえは〇）,
クイズ認定完了,2021-01-27 00:10:22,yukari05831k,58,dq59,野ばら,小川 未明,dq59-11,0,5.43,10,二つの国＊くに＊が 戦争＊せんそう＊をはじめて、ふたりの兵士＊へいし＊は、敵＊てき＊味方＊みかた＊の間柄＊あいだがら＊になり、＃口＊くち＊をきかなくなりました＃。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:22,yukari05831k,58,dq59,野ばら,小川 未明,dq59-12,0,5.43,10,寒＊さむ＊くなると老人＊ろうじん＊は、南＊みなみ＊の方＊ほう＊を恋＊こい＊しがり、暇＊ひま＊をもらって帰＊かえ＊りたい、といいました。＃青年＊せいねん＊は、もうしばらく いてほしい と たのみました＃。（こたえは〇）,
クイズ認定完了,2021-01-27 00:10:22,yukari05831k,58,dq59,野ばら,小川 未明,dq59-13,0,5.43,10,＃国境＊こっきょう＊の山々＊やまやま＊には、野ばらが一面＊いちめん＊に咲＊さ＊きほこっていました＃。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:22,yukari05831k,58,dq59,野ばら,小川 未明,dq59-14,0,5.43,10,青年＊せいねん＊の兵士＊へいし＊は、＃野ばらの棘＊とげ＊で、けがをしました＃。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:22,yukari05831k,58,dq59,野ばら,小川 未明,dq59-15,0,5.43,10,二人＊ふたり＊は いっしょうけんめい将棋盤＊しょうぎばん＊の上で争＊あらそ＊ううちに、＃仲＊なか＊が悪＊わる＊くなっていきました＃。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:22,yukari05831k,58,dq59,野ばら,小川 未明,dq59-16,0,5.43,10,二人＊ふたり＊は いっしょうけんめい＃将棋盤＊しょうぎばん＊の上で 争＊あらそ＊っても、心＊こころ＊は 打＊う＊ち解＊と＊けていました＃。（こたえは〇）,
クイズ認定完了,2021-01-27 00:10:23,yukari05831k,58,dq59,野ばら,小川 未明,dq59-17,0,5.43,10,老人＊ろうじん＊は、青年＊せいねん＊に、＃将棋＊しょうぎ＊の歩＊あゆ＊み方＊かた＊を 教＊おし＊えました＃。（こたえは〇）,
クイズ認定完了,2021-01-27 00:10:23,yukari05831k,58,dq59,野ばら,小川 未明,dq59-18,0,5.43,10,ふたりの兵士＊へいし＊は いい天気＊てんき＊の日に、よく ＃すもうをしました＃。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:23,yukari05831k,58,dq59,野ばら,小川 未明,dq59-19,0,5.43,10,青年＊せいねん＊は最初＊さいしょ＊ ＃将棋＊しょうぎ＊の歩＊あゆ＊み方＊かた＊を知＊し＊りませんでした＃。（こたえは〇）,
クイズ認定完了,2021-01-27 00:10:23,yukari05831k,58,dq59,野ばら,小川 未明,dq59-20,0,5.43,10,ふたりの兵士＊へいし＊は、みつばちの羽音＊はおと＊を ＃快＊こころよ＊い＃と 思＊おも＊いました。（こたえは〇）,
クイズ認定完了,2021-01-27 00:10:23,yukari05831k,58,dq59,野ばら,小川 未明,dq59-21,0,5.43,10,ふたりの兵士＊へいし＊は、みつばちの羽音＊はおと＊を ＃うるさい＃と 思＊おも＊いました。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:23,yukari05831k,58,dq59,野ばら,小川 未明,dq59-22,0,5.43,10,二人の兵士＊へいし＊が仲＊なか＊よくなったのは、＃ほかに話＊はなし＊をする相手＊あいて＊もなく退屈＊たいくつ＊だったからです＃。（こたえは〇）,
クイズ認定完了,2021-01-27 00:10:23,yukari05831k,58,dq59,野ばら,小川 未明,dq59-23,0,5.43,10,ふたつの国＊くに＊から 派遣＊はけん＊された兵士＊へいし＊が 番＊ばん＊をしているのは、#
お城＊しろ＊でした#。（こたえは?）,
クイズ認定完了,2021-01-27 00:10:23,yukari05831k,58,dq59,野ばら,小川 未明,dq59-24,0,5.43,10,ふたつの国＊くに＊から それぞれ派遣＊はけん＊された兵士＊へいし＊が 番＊ばん＊をしているのは、#
いたってさびしい山でした#。（こたえは 〇）,
クイズ認定完了,2021-01-27 00:10:24,yukari05831k,58,dq59,野ばら,小川 未明,dq59-25,0,5.43,10,ふたつの国＊くに＊から それぞれ派遣＊はけん＊された兵士＊へいし＊が 番＊ばん＊をしているのは、#
人通＊ひとどお＊りが多いところでした#。（こたえは ?）,
